timestamp,price,volume,MA20,MA50,MA200,event
2022-08-28,19555.61,139307.95976,22392.625500000002,22331.8964,31636.02085,
2022-08-29,20285.73,210509.49545,22249.4145,22320.3616,31519.9723,
2022-08-30,19811.66,256634.35529,22042.295000000002,22317.3226,31407.16195,
2022-08-31,20050.02,276946.60765,21848.0765,22331.748,31296.3227,
2022-09-01,20131.46,245289.97263,21634.4655,22329.679799999998,31186.7117,
2022-09-02,19951.86,245986.6033,21409.9895,22316.9402,31073.791299999997,
2022-09-03,19831.9,146639.03204,21186.322500000002,22296.977399999996,30950.2265,
2022-09-04,20000.3,145588.77893,20981.5965,22273.0714,30830.8602,
2022-09-05,19796.84,222543.01057,20778.701500000003,22253.045,30727.265900000002,
2022-09-06,18790.61,356315.05718,20551.099,22180.2056,30621.346749999997,
2022-09-07,19292.84,287394.7788,20356.181,22098.13,30517.415100000002,
2022-09-08,19319.77,262813.28273,20280.45,22020.0594,30422.079500000003,
2022-09-09,21360.11,428919.74652,20291.451999999997,21984.2178,30343.839250000005,
2022-09-10,21648.34,307997.33504,20298.0885,21963.487999999998,30260.929300000003,
2022-09-11,21826.87,280702.55149,20319.4405,21951.004000000004,30183.813600000005,
2022-09-12,22395.74,395395.61828,20362.7715,21947.3252,30104.156250000004,
2022-09-13,20173.57,431915.03333,20303.046,21924.578599999997,30008.928249999997,
2022-09-14,20226.71,340826.40151,20236.429500000002,21904.0194,29914.478199999998,
2022-09-15,19701.88,333069.76076,20209.471,21839.008,29824.492249999996,
2022-09-16,19803.3,283791.07064,20197.756,21758.2154,29707.70875,
2022-09-17,20113.62,179350.24338,20225.6565,21685.012799999997,29586.17085,
2022-09-18,19416.18,254217.46904,20182.179,21600.466200000003,29463.78685,
2022-09-19,19537.02,380512.40306,20168.447,21525.3402,29349.20195,
2022-09-20,18875.0,324098.3286,20109.696000000004,21437.48,29247.833649999997,
2022-09-21,18461.36,385034.10021,20026.191,21346.9514,29143.15065,
2022-09-22,19401.63,379321.72111,19998.679500000002,21278.616599999998,29048.05475,
2022-09-23,19289.91,385886.91829,19971.579999999998,21211.9552,28954.564300000002,
2022-09-24,18920.5,239496.56746,19917.59,21124.116800000003,28855.51365,
2022-09-25,18807.38,191191.4492,19868.117,21041.1802,28739.842,
2022-09-26,19227.82,439239.21943,19889.9775,20962.2488,28638.871100000004,
2022-09-27,19079.13,593260.74161,19879.292,20867.6314,28540.6189,
2022-09-28,19412.82,521385.45547,19883.9445,20792.8888,28443.646199999996,
2022-09-29,19591.51,406424.93256,19795.5145,20705.638,28352.71705,
2022-09-30,19422.61,444322.9534,19684.228,20615.402400000003,28251.473249999995,
2022-10-01,19310.95,165625.13959,19558.432,20513.5478,28151.62635,
2022-10-02,19056.8,206812.47032,19391.485,20405.856200000002,28041.34035,
2022-10-03,19629.08,293585.75212,19364.2605,20312.333,27934.89625,
2022-10-04,20337.82,327012.00127,19369.816,20237.193,27827.797800000004,
2022-10-05,20158.26,312239.75224,19392.635,20163.2634,27717.58345,
2022-10-06,19960.67,320122.1702,19400.5035,20095.623600000003,27611.07625,
2022-10-07,19530.09,220874.83913,19371.326999999997,20022.4014,27503.71545,
2022-10-08,19417.96,102480.09842,19371.416,19994.072799999998,27388.9846,
2022-10-09,19439.02,113900.82681,19366.516,19960.0518,27271.7659,
2022-10-10,19131.87,212509.09849,19379.3595,19912.377,27147.46795,
2022-10-11,19060.0,243473.84286,19409.2915,19865.5804,27021.202150000005,
2022-10-12,19155.53,213826.26731,19396.9865,19818.1086,26894.423450000002,
2022-10-13,19375.13,399756.68337,19401.2475,19778.2496,26757.160300000003,
2022-10-14,19176.93,351634.32601,19414.069,19730.6074,26617.4339,
2022-10-15,19069.39,113847.64232,19427.1695,19707.174199999998,26475.60685,
2022-10-16,19262.98,131894.61885,19428.927499999998,19691.681800000002,26336.5818,
2022-10-17,19549.86,222813.87634,19452.464,19691.5668,26206.7794,
2022-10-18,19327.44,260313.07848,19448.195,19672.400999999998,26071.99915,
2022-10-19,19123.97,186137.29538,19424.818,19658.6472,25938.564,
2022-10-20,19041.92,223530.13068,19405.783499999998,19638.4852,25801.73685,
2022-10-21,19164.37,269310.75769,19398.4545,19619.1434,25664.65615,
2022-10-22,19204.35,110403.90837,19405.832000000002,19604.193199999998,25533.190150000002,
2022-10-23,19570.4,167057.20184,19402.897999999997,19598.963200000002,25415.1898,
2022-10-24,19329.72,256168.14467,19352.493,19585.5516,25294.61745,
2022-10-25,20080.07,326370.67061,19348.5835,19591.216200000003,25183.75775,
2022-10-26,20771.59,380492.69576,19389.1295,19630.8358,25073.845849999998,
2022-10-27,20295.11,328643.57791,19427.3805,19650.8812,24964.527149999998,
2022-10-28,20591.84,287039.94569,19486.0745,19676.3226,24869.8341,
2022-10-29,20809.67,254881.77755,19554.606999999996,19665.3138,24773.50775,
2022-10-30,20627.48,192795.60886,19629.3875,19644.8966,24670.9062,
2022-10-31,20490.74,303567.61628,19700.9245,19618.174,24573.648,
2022-11-01,20483.62,279932.43771,19767.329,19579.9316,24473.306599999996,
2022-11-02,20151.84,373716.27299,19806.1645,19579.497,24372.17225,
2022-11-03,20207.82,319185.1544,19857.709,19579.1192,24274.82075,
2022-11-04,21148.52,453694.39165,19961.6655,19608.052,24176.5577,
2022-11-05,21299.37,245621.98525,20063.485,19637.973400000003,24075.58865,
2022-11-06,20905.58,230036.97217,20131.271,19653.8126,23973.3256,
2022-11-07,20591.13,386977.60337,20194.455500000004,19677.3116,23873.8812,
2022-11-08,18547.23,760705.362783,20165.6185,19657.5158,23768.07145,
2022-11-09,15922.81,731926.929729,20009.663,19598.471999999998,23650.4775,
2022-11-10,17601.15,608448.36432,19931.502,19581.2678,23541.2326,
2022-11-11,17070.31,393552.86492,19824.8,19534.6414,23424.45375,FTX交易所破产
2022-11-12,16812.08,167819.96035,19686.884,19485.0848,23317.950900000003,
2022-11-13,16329.85,184960.78846,19536.8905,19433.2718,23203.42155,
2022-11-14,16619.46,380210.7775,19363.859999999997,19389.5134,23087.8085,
2022-11-15,16900.57,282461.84391,19170.309,19342.9684,22979.3308,
2022-11-16,16662.76,261493.40809,18988.6915,19294.641,22874.4906,
2022-11-17,16692.56,228038.97873,18793.7275,19240.235800000002,22765.61165,
2022-11-18,16700.45,214224.18184,18588.2665,19182.414600000004,22656.488100000002,
2022-11-19,16700.68,104963.15558,18391.926499999998,19127.976000000002,22551.346750000004,
2022-11-20,16280.23,154842.13478,18181.401,19067.3616,22434.2979,
2022-11-21,15781.29,324096.997753,17946.2845,19001.8514,22330.4395,
2022-11-22,16226.94,239548.06623,17750.039500000003,18933.8086,22231.505350000003,
2022-11-23,16603.11,264927.70408,17569.804,18859.114400000002,22137.15895,
2022-11-24,16598.95,206565.92346,17342.3255,18787.928200000002,22049.9617,
2022-11-25,16522.14,182089.49533,17103.464,18719.1576,21982.19085,
2022-11-26,16458.57,181804.81666,16881.1135,18657.7272,21909.3982,
2022-11-27,16428.78,162025.47607,16672.996,18597.943600000002,21846.0224,
2022-11-28,16212.91,252695.40367,16556.28,18533.421400000003,21781.938200000004,
2022-11-29,16442.53,248106.25009,16582.266,18479.6346,21717.7156,
2022-11-30,17163.64,303019.80719,16560.3905,18441.7074,21653.100100000003,
2022-12-01,16977.37,232818.18218,16555.7435,18398.1442,21581.3425,
2022-12-02,17092.74,202372.2062,16569.7765,18352.4964,21517.436149999998,
2022-12-03,16885.2,154542.57306,16597.544,18306.661799999998,21449.6375,
2022-12-04,17105.7,178619.13387,16621.856000000003,18267.388,21391.5894,
2022-12-05,16966.35,233703.29225,16625.145,18221.4554,21324.825,
2022-12-06,17088.96,218730.76883,16646.455,18172.237399999998,21264.264749999995,
2022-12-07,16836.64,220657.41334,16653.659,18122.421400000003,21201.22265,
2022-12-08,17224.1,236417.97804,16679.841500000002,18084.424000000003,21135.87345,
2022-12-09,17128.56,238422.06465,16701.235500000003,18046.1568,21075.970500000003,
2022-12-10,17127.49,140573.97937,16743.5985,18005.4192,21013.335049999998,
2022-12-11,17085.05,155286.47871,16808.7865,17963.0332,20951.04955,
2022-12-12,17209.83,226227.49694,16857.931,17915.821799999998,20891.09195,
2022-12-13,17774.7,284462.9139,16916.5105,17884.721400000002,20836.81645,
2022-12-14,17803.15,266681.22209,16976.7205,17839.183,20780.67555,
2022-12-15,17356.34,223701.96882,17018.4305,17770.878,20720.11675,
2022-12-16,16632.12,253379.04116,17027.108,17697.6182,20644.60625,
2022-12-17,16776.52,144825.66684,17044.495000000003,17621.311800000003,20569.48365,
2022-12-18,16738.21,112619.31646,17070.76,17539.8826,20504.14555,
2022-12-19,16438.88,179094.28305,17070.5775,17456.1106,20434.07685,
2022-12-20,16895.56,248808.92324,17057.173499999997,17384.207000000002,20370.0536,
2022-12-21,16824.67,156810.96362,17049.538500000002,17311.028000000002,20304.85675,
2022-12-22,16821.43,176044.27235,17035.973,17244.4198,20239.367850000002,
